"","doc1","doc2","num_shared_entries","similarity","distance"
"1805","Q000039","Q000039",731,1,0
"925","P273880","P273880",479,1,0
"1761","Q000001","Q000001",419,1,0
"661","P271301","P271301",368,1,0
"793","P271911","P271911",347,1,0
"1233","P388265","P388265",304,1,0
"945","P273880","Q000039",265,0.553235908141962,0.446764091858038
"1785","Q000039","P273880",265,0.553235908141962,0.446764091858038
"177","P247864","P247864",262,1,0
"397","P250736","P250736",235,1,0
"1013","P332934","P332934",233,1,0
"687","P271301","Q000039",219,0.595108695652174,0.404891304347826
"1779","Q000039","P271301",219,0.595108695652174,0.404891304347826
"1246","P388265","Q000039",198,0.651315789473684,0.348684210526316
"1792","Q000039","P388265",198,0.651315789473684,0.348684210526316
"1497","P447996","P447996",174,1,0
"214","P247864","Q000039",154,0.587786259541985,0.412213740458015
"1768","Q000039","P247864",154,0.587786259541985,0.412213740458015
"816","P271911","Q000039",150,0.432276657060519,0.567723342939481
"1782","Q000039","P271911",150,0.432276657060519,0.567723342939481
"669","P271301","P332934",136,0.583690987124464,0.416309012875536
"1005","P332934","P271301",136,0.583690987124464,0.416309012875536
"932","P273880","P388265",120,0.394736842105263,0.605263157894737
"1226","P388265","P273880",120,0.394736842105263,0.605263157894737
"1321","P429503","P429503",120,1,0
"1101","P346714","P346714",117,1,0
"1145","P347814","P347814",117,1,0
"1189","P370399","P370399",110,1,0
"667","P271301","P273880",105,0.285326086956522,0.714673913043478
"919","P273880","P271301",105,0.285326086956522,0.714673913043478
"1585","P459217","P459217",105,1,0
"1031","P332934","Q000039",104,0.446351931330472,0.553648068669528
"1787","Q000039","P332934",104,0.446351931330472,0.553648068669528
"1541","P459216","P459216",103,1,0
"796","P271911","P273880",101,0.291066282420749,0.708933717579251
"922","P273880","P271911",101,0.291066282420749,0.708933717579251
"749","P271771","P271771",95,1,0
"1504","P447996","Q000039",94,0.540229885057471,0.459770114942529
"1798","Q000039","P447996",94,0.540229885057471,0.459770114942529
"680","P271301","P447996",93,0.53448275862069,0.46551724137931
"1478","P447996","P271301",93,0.53448275862069,0.46551724137931
"617","P253866","P253866",92,1,0
"1590","P459217","Q000039",92,0.876190476190476,0.123809523809524
"1800","Q000039","P459217",92,0.876190476190476,0.123809523809524
"1629","P459218","P459218",88,1,0
"674","P271301","P388265",86,0.282894736842105,0.717105263157895
"1220","P388265","P271301",86,0.282894736842105,0.717105263157895
"1160","P347814","Q000039",85,0.726495726495726,0.273504273504274
"1790","Q000039","P347814",85,0.726495726495726,0.273504273504274
"201","P247864","P388265",83,0.316793893129771,0.683206106870229
"1209","P388265","P247864",83,0.316793893129771,0.683206106870229
"1020","P332934","P429503",82,0.683333333333333,0.316666666666667
"1314","P429503","P332934",82,0.683333333333333,0.316666666666667
"1203","P370399","Q000039",81,0.736363636363636,0.263636363636364
"1791","Q000039","P370399",81,0.736363636363636,0.263636363636364
"1547","P459216","Q000039",80,0.776699029126214,0.223300970873786
"1799","Q000039","P459216",80,0.776699029126214,0.223300970873786
"309","P250364","P250364",78,1,0
"644","P253866","Q000039",76,0.826086956521739,0.173913043478261
"663","P271301","P271771",76,0.8,0.2
"747","P271771","P271301",76,0.8,0.2
"1778","Q000039","P253866",76,0.826086956521739,0.173913043478261
"682","P271301","P459217",74,0.704761904761905,0.295238095238095
"1564","P459217","P271301",74,0.704761904761905,0.295238095238095
"1633","P459218","Q000039",71,0.806818181818182,0.193181818181818
"1801","Q000039","P459218",71,0.806818181818182,0.193181818181818
"133","P235262","P235262",69,1,0
"194","P247864","P273880",69,0.263358778625954,0.736641221374046
"676","P271301","P429503",69,0.575,0.425
"908","P273880","P247864",69,0.263358778625954,0.736641221374046
"1117","P346714","Q000039",69,0.58974358974359,0.41025641025641
"1306","P429503","P271301",69,0.575,0.425
"1789","Q000039","P346714",69,0.58974358974359,0.41025641025641
"681","P271301","P459216",68,0.660194174757282,0.339805825242718
"1521","P459216","P271301",68,0.660194174757282,0.339805825242718
"188","P247864","P271301",67,0.255725190839695,0.744274809160305
"650","P271301","P247864",67,0.255725190839695,0.744274809160305
"930","P273880","P347814",67,0.572649572649573,0.427350427350427
"1140","P347814","P273880",67,0.572649572649573,0.427350427350427
"1453","P437074","P437074",65,1,0
"803","P271911","P388265",63,0.207236842105263,0.792763157894737
"1026","P332934","P459217",63,0.6,0.4
"1223","P388265","P271911",63,0.207236842105263,0.792763157894737
"1572","P459217","P332934",63,0.6,0.4
"801","P271911","P347814",62,0.52991452991453,0.47008547008547
"1137","P347814","P271911",62,0.52991452991453,0.47008547008547
"1332","P429503","Q000039",62,0.516666666666667,0.483333333333333
"1794","Q000039","P429503",62,0.516666666666667,0.483333333333333
"800","P271911","P346714",58,0.495726495726496,0.504273504273504
"1024","P332934","P447996",58,0.333333333333333,0.666666666666667
"1094","P346714","P271911",58,0.495726495726496,0.504273504273504
"1486","P447996","P332934",58,0.333333333333333,0.666666666666667
"1025","P332934","P459216",55,0.533980582524272,0.466019417475728
"1529","P459216","P332934",55,0.533980582524272,0.466019417475728
"1018","P332934","P388265",53,0.227467811158798,0.772532188841202
"1228","P388265","P332934",53,0.227467811158798,0.772532188841202
"343","P250364","Q000039",52,0.666666666666667,0.333333333333333
"1241","P388265","P459217",52,0.495238095238095,0.504761904761905
"1577","P459217","P388265",52,0.495238095238095,0.504761904761905
"1771","Q000039","P250364",52,0.666666666666667,0.333333333333333
"1499","P447996","P459217",51,0.485714285714286,0.514285714285714
"1583","P459217","P447996",51,0.485714285714286,0.514285714285714
"931","P273880","P370399",50,0.454545454545455,0.545454545454545
"1183","P370399","P273880",50,0.454545454545455,0.545454545454545
"773","P271771","Q000039",49,0.515789473684211,0.484210526315789
"1781","Q000039","P271771",49,0.515789473684211,0.484210526315789
"191","P247864","P271911",48,0.183206106870229,0.816793893129771
