,designation,period,provenience
P000001,"W 06435,a",Uruk III,Uruk
P000002,"W 06435,b",Uruk III,Uruk
P000003,"W 09123,d",Uruk IV,Uruk
P000004,"W 09169,d",Uruk IV,Uruk
P000005,"W 09206,k",Uruk IV,Uruk
P000006,"W 09656,h1",Uruk IV,Uruk
P000007,"W 09656,x",Uruk IV,Uruk
P000008,"W 11985,e",Uruk III,Uruk
P000009,"W 11985,f",Uruk III,Uruk
P000010,"W 11985,g",Uruk III,Uruk
P000011,"W 11986,a",Uruk III,Uruk
P000012,"W 11986,c",Uruk III,Uruk
P000013,"W 11988,d",Uruk III,Uruk
P000014,W 12139,Uruk III,Uruk
P000015,"W 12256,i + k + l + o",Uruk III,Uruk
P000019,"W 13662,c1",Uruk III,Uruk
P000020,"W 13662,v1",Uruk III,Uruk
P000021,W 13948,Uruk III,Uruk
P000022,W 13982,Uruk III,Uruk
P000023,W 14264,Uruk III,Uruk
P000024,"W 14335,c",Uruk III,Uruk
P000025,"W 14337,a + b + c + d + e",Uruk III,Uruk
P000030,W 14497,Uruk III,Uruk
P000031,"W 14551,a + b ?",Uruk III,Uruk
P000033,W 14638,Uruk III,Uruk
P000034,"W 14731,x",Uruk III,Uruk
P000035,"W 14777,b",Uruk III,Uruk
P000036,W 15085,Uruk III,Uruk
P000037,"W 15772,l",Uruk III,Uruk
P000038,"W 15773,c",Uruk III,Uruk
P000039,"W 15773,q",Uruk III,Uruk
P000040,"W 15773,t",Uruk III,Uruk
P000041,"W 15774,q",Uruk III,Uruk
P000042,"W 15774,w",Uruk III,Uruk
P000043,"W 15775,f + ae",Uruk III,Uruk
P000045,"W 15775,af",Uruk III,Uruk
P000046,"W 15825,a7",Uruk III,Uruk
P000047,"W 15825,a8",Uruk III,Uruk
P000048,"W 15833,a7 + 8",Uruk III,Uruk
P000050,"W 15863,d",Uruk III,Uruk
P000051,"W 15892,a + b",Uruk III,Uruk
P000053,"W 15892,c",Uruk III,Uruk
P000054,"W 15895,a",Uruk III,Uruk
P000055,"W 15895,b",Uruk III,Uruk
P000056,"W 15895,c",Uruk III,Uruk
P000057,"W 15895,d + v",Uruk III,Uruk
P000058,"W 15895,e + f",Uruk III,Uruk
P000060,"W 15895,g",Uruk III,Uruk
P000061,"W 15895,h",Uruk III,Uruk
P000062,"W 15895,i",Uruk III,Uruk
P000063,"W 15895,k",Uruk III,Uruk
P000064,"W 15895,l+",Uruk III,Uruk
P000065,"W 15895,m",Uruk III,Uruk
P000066,"W 15895,n",Uruk III,Uruk
P000067,"W 15895,o",Uruk III,Uruk
P000068,"W 15895,p + aq",Uruk III,Uruk
P000069,"W 15895,q",Uruk III,Uruk
P000070,"W 15895,r",Uruk III,Uruk
P000071,"W 15895,s",Uruk III,Uruk
P000072,"W 15895,t",Uruk III,Uruk
P000073,"W 15895,u",Uruk III,Uruk
P000075,"W 15895,w",Uruk III,Uruk
P000076,"W 15895,y",Uruk III,Uruk
P000077,"W 15895,aa",Uruk III,Uruk
P000078,"W 15895,ab",Uruk III,Uruk
P000079,"W 15895,ac",Uruk III,Uruk
P000080,"W 15895,ad",Uruk III,Uruk
P000081,"W 15895,ae",Uruk III,Uruk
P000082,"W 15895,ah",Uruk III,Uruk
P000083,"W 15895,ai",Uruk III,Uruk
P000084,"W 15895,ak",Uruk III,Uruk
P000085,"W 15895,am",Uruk III,Uruk
P000086,"W 15895,an",Uruk III,Uruk
P000087,"W 15895,ao",Uruk III,Uruk
P000088,"W 15895,ap",Uruk III,Uruk
P000090,"W 15895,ar",Uruk III,Uruk
P000091,"W 15895,as",Uruk III,Uruk
P000092,"W 15895,at",Uruk III,Uruk
P000093,"W 15895,au",Uruk III,Uruk
P000094,"W 15895,av",Uruk III,Uruk
P000095,"W 15895,aw",Uruk III,Uruk
P000096,"W 15895,ax",Uruk III,Uruk
P000097,"W 15895,ay",Uruk III,Uruk
P000098,"W 15895,az + br",Uruk III,Uruk
P000099,"W 15895,ba",Uruk III,Uruk
P000100,"W 15895,bb",Uruk III,Uruk
P000101,"W 15895,bc",Uruk III,Uruk
P000102,"W 15895,bd",Uruk III,Uruk
P000103,"W 15895,be",Uruk III,Uruk
P000104,"W 15895,bf",Uruk III,Uruk
P000105,"W 15895,bi",Uruk III,Uruk
P000106,"W 15895,bk",Uruk III,Uruk
P000107,"W 15895,bm",Uruk III,Uruk
P000108,"W 15895,bn",Uruk III,Uruk
P000109,"W 15895,bo",Uruk III,Uruk
P000110,"W 15895,bp",Uruk III,Uruk
P000111,"W 15895,bq",Uruk III,Uruk
P000113,"W 15895,bs",Uruk III,Uruk
P000114,"W 15895,bt",Uruk III,Uruk
P000115,"W 15895,bu",Uruk III,Uruk
P000116,"W 15895,bv + ?",Uruk III,Uruk
P000117,"W 15895,bw",Uruk III,Uruk
P000118,"W 15897,a4 + c28",Uruk III,Uruk
P000120,"W 15919,c",Uruk III,Uruk
P000121,"W 15920,a4",Uruk IV,Uruk
P000122,"W 15920,b6",Uruk III,Uruk
P000123,"W 15957,a",Uruk III,Uruk
P000124,"W 15957,c",Uruk III,Uruk
P000125,"W 15957,e",Uruk III,Uruk
P000126,"W 15957,f",Uruk III,Uruk
P000127,"W 15958,b",Uruk III,Uruk
P000128,"W 15958,c",Uruk III,Uruk
P000129,"W 15958,d + e",Uruk III,Uruk
P000131,"W 16621,a",Uruk IV,Uruk
P000132,"W 16728,1",Uruk III,Uruk
P000133,"W 16728,2",Uruk III,Uruk
P000134,"W 16728,3",Uruk III,Uruk
P000135,"W 16728,4",Uruk III,Uruk
P000136,"W 16728,5",Uruk III,Uruk
P000137,"W 16728,6",Uruk III,Uruk
P000138,"W 16728,7",Uruk III,Uruk
P000139,"W 16728,8",Uruk III,Uruk
P000140,"W 16728,9",Uruk III,Uruk
P000141,"W 16728,10",Uruk III,Uruk
P000142,"W 16918,a",Uruk III,Uruk
P000143,"W 16918,b",Uruk III,Uruk
P000144,"W 16918,c",Uruk III,Uruk
P000145,"W 16918,d",Uruk III,Uruk
P000146,"W 16918,e",Uruk III,Uruk
P000147,"W 16918,f",Uruk III,Uruk
P000148,"W 16918,g",Uruk III,Uruk
P000149,"W 16918,h",Uruk III,Uruk
P000150,"W 16918,i",Uruk III,Uruk
P000151,"W 16918,k",Uruk III,Uruk
P000152,"W 16918,l",Uruk III,Uruk
P000153,"W 17859,a",Uruk III,Uruk
P000154,"W 17902,a",Uruk III,Uruk
P000155,"W 17902,b",Uruk III,Uruk
P000156,"W 17902,d",Uruk III,Uruk
P000157,"W 17902,f",Uruk III,Uruk
P000158,"W 17902,h",Uruk III,Uruk
P000159,"W 17902,i",Uruk III,Uruk
P000160,"W 17902,m",Uruk III,Uruk
P000161,W 17942,Uruk III,Uruk
P000162,"W 17950,f",Uruk III,Uruk
P000163,"W 17950,g",Uruk III,Uruk
P000164,W 19296,Uruk III,Uruk
P000165,"W 19362,a",Uruk III,Uruk
P000166,"W 19412,8",Uruk III,Uruk
P000167,"W 19548,a + b",Uruk III,Uruk
P000169,"W 19640,a",Uruk III,Uruk
P000170,"W 19666,f",Uruk III,Uruk
P000171,"W 19667,e",Uruk III,Uruk
P000172,"W 19668,c",Uruk III,Uruk
P000173,W 19724,Uruk III,Uruk
P000174,"W 19726,b",Uruk III,Uruk
P000175,"W 19726,c",Uruk III,Uruk
P000176,"W 19771,b",Uruk III,Uruk
P000177,"W 19771,c",Uruk III,Uruk
P000178,"W 19771,d",Uruk III,Uruk
P000179,"W 19771,e",Uruk III,Uruk
P000180,"W 19771,f",Uruk III,Uruk
P000181,"W 19771,g + l",Uruk III,Uruk
P000182,"W 19771,h",Uruk III,Uruk
P000183,"W 19771,i",Uruk III,Uruk
P000184,"W 19771,j + k",Uruk III,Uruk
P000187,"W 19771,m + W 19772,j",Uruk III,Uruk
P000188,"W 19771,n",Uruk III,Uruk
P000189,"W 19771,o",Uruk III,Uruk
P000190,"W 19771,p",Uruk III,Uruk
P000191,"W 19772,c",Uruk III,Uruk
P000193,W 19780,Uruk III,Uruk
P000194,"W 19785,b",Uruk III,Uruk
P000195,"W 19948,8",Uruk III,Uruk
P000196,"W 19948,9",Uruk III,Uruk
P000197,"W 19948,10",Uruk III,Uruk
P000198,"W 19948,20",Uruk III,Uruk
P000199,"W 19948,22",Uruk III,Uruk
P000200,"W 19948,23",Uruk III,Uruk
P000201,"W 19948,24 + 36",Uruk III,Uruk
P000202,"W 19948,29",Uruk III,Uruk
P000203,"W 19948,30a",Uruk III,Uruk
P000204,"W 19948,30b",Uruk III,Uruk
P000205,"W 19948,32",Uruk III,Uruk
P000206,"W 19948,33",Uruk III,Uruk
P000207,"W 19948,34",Uruk III,Uruk
P000208,"W 19948,35",Uruk III,Uruk
P000210,"W 19948,39",Uruk III,Uruk
P000211,"W 19948,40",Uruk III,Uruk
P000212,"W 19948,41",Uruk III,Uruk
P000213,"W 19948,42",Uruk III,Uruk
P000214,"W 19948,43a",Uruk III,Uruk
P000215,"W 19948,43b",Uruk III,Uruk
P000216,"W 19948,44",Uruk III,Uruk
P000217,"W 19948,45",Uruk III,Uruk
P000218,"W 19948,46",Uruk III,Uruk
P000219,"W 19948,47",Uruk III,Uruk
P000220,"W 19948,48",Uruk III,Uruk
P000221,"W 19948,49",Uruk III,Uruk
P000222,"W 19948,50",Uruk III,Uruk
P000223,"W 19948,57",Uruk III,Uruk
P000224,"W 19948,68",Uruk III,Uruk
P000225,"W 20044,45",Uruk III,Uruk
P000226,"W 20044,46 + 55",Uruk III,Uruk
P000227,"W 20044,47",Uruk III,Uruk
P000229,"W 20213,4a",Uruk III,Uruk
P000230,"W 20213,4b",Uruk III,Uruk
P000231,"W 20213,4c",Uruk III,Uruk
P000232,"W 20213,4d",Uruk III,Uruk
P000233,W 20234,Uruk III,Uruk
P000234,"W 20235,1",Uruk III,Uruk
P000235,"W 20235,2",Uruk III,Uruk
P000236,"W 20246,4",Uruk III,Uruk
P000237,"W 20247,1 + 2 + 3",Uruk III,Uruk
P000240,"W 20258,1 + 3",Uruk III,Uruk
P000241,"W 20258,2",Uruk III,Uruk
P000243,"W 20258,4",Uruk III,Uruk
P000244,"W 20258,5",Uruk III,Uruk
P000245,"W 20258,6",Uruk III,Uruk
P000246,"W 20258,7",Uruk III,Uruk
P000247,"W 20266,1",Uruk III,Uruk
P000248,"W 20266,2",Uruk III,Uruk
P000249,"W 20266,3",Uruk III,Uruk
P000250,"W 20266,4",Uruk III,Uruk
P000251,"W 20266,5",Uruk III,Uruk
P000252,"W 20266,6",Uruk III,Uruk
P000253,"W 20266,7",Uruk III,Uruk
P000254,"W 20266,8",Uruk III,Uruk
P000255,"W 20266,9",Uruk III,Uruk
P000256,"W 20266,10",Uruk III,Uruk
P000257,"W 20266,11",Uruk III,Uruk
P000258,"W 20266,12",Uruk III,Uruk
P000259,"W 20266,13",Uruk III,Uruk
P000260,"W 20266,14",Uruk III,Uruk
P000261,"W 20266,15",Uruk III,Uruk
P000262,"W 20266,16",Uruk III,Uruk
P000263,"W 20266,17",Uruk III,Uruk
P000264,"W 20266,18",Uruk III,Uruk
P000265,"W 20266,19",Uruk III,Uruk
P000266,"W 20266,20",Uruk III,Uruk
P000267,"W 20266,21",Uruk III,Uruk
P000268,"W 20266,22",Uruk III,Uruk
P000269,"W 20266,23",Uruk III,Uruk
P000270,"W 20266,24",Uruk III,Uruk
P000271,"W 20266,25",Uruk III,Uruk
P000272,"W 20266,26",Uruk III,Uruk
P000273,"W 20266,27",Uruk III,Uruk
P000274,"W 20266,28",Uruk III,Uruk
P000275,"W 20266,29",Uruk III,Uruk
P000276,"W 20266,30",Uruk III,Uruk
P000277,"W 20266,31",Uruk III,Uruk
P000278,"W 20266,32",Uruk III,Uruk
P000279,"W 20266,33",Uruk III,Uruk
P000280,"W 20266,34",Uruk III,Uruk
P000281,"W 20266,35",Uruk III,Uruk
P000282,"W 20266,36",Uruk III,Uruk
P000283,"W 20266,37",Uruk III,Uruk
P000284,"W 20266,38",Uruk III,Uruk
P000285,"W 20266,39",Uruk III,Uruk
P000286,"W 20266,40",Uruk III,Uruk
P000287,"W 20266,41",Uruk III,Uruk
P000288,"W 20266,42",Uruk III,Uruk
P000289,"W 20266,43",Uruk III,Uruk
P000290,"W 20266,44",Uruk III,Uruk
P000291,"W 20266,45",Uruk III,Uruk
P000292,"W 20266,46",Uruk III,Uruk
P000293,"W 20266,47",Uruk III,Uruk
P000294,"W 20266,48",Uruk III,Uruk
P000295,"W 20266,49",Uruk III,Uruk
P000296,"W 20266,50",Uruk III,Uruk
P000297,"W 20266,51",Uruk III,Uruk
P000298,"W 20266,52",Uruk III,Uruk
P000299,"W 20266,53",Uruk III,Uruk
P000300,"W 20266,54",Uruk III,Uruk
P000301,"W 20266,55",Uruk III,Uruk
P000302,"W 20266,56",Uruk III,Uruk
P000303,"W 20266,57",Uruk III,Uruk
P000304,"W 20266,58",Uruk III,Uruk
P000305,"W 20266,59",Uruk III,Uruk
P000306,"W 20266,60 + 61",Uruk III,Uruk
P000308,"W 20266,62",Uruk III,Uruk
P000309,"W 20266,63",Uruk III,Uruk
P000310,"W 20266,64",Uruk III,Uruk
P000311,"W 20266,65",Uruk III,Uruk
P000312,"W 20266,66",Uruk III,Uruk
P000313,"W 20266,67",Uruk III,Uruk
P000314,"W 20266,68",Uruk III,Uruk
P000315,"W 20266,69",Uruk III,Uruk
P000316,"W 20266,70",Uruk III,Uruk
P000317,"W 20266,71",Uruk III,Uruk
P000318,"W 20266,72",Uruk III,Uruk
P000319,"W 20266,73",Uruk III,Uruk
P000320,"W 20266,74",Uruk III,Uruk
P000321,"W 20266,75",Uruk III,Uruk
P000322,"W 20266,76",Uruk III,Uruk
P000323,"W 20266,77",Uruk III,Uruk
P000324,"W 20266,78",Uruk III,Uruk
P000325,"W 20266,79",Uruk III,Uruk
P000326,"W 20266,80",Uruk III,Uruk
P000327,"W 20266,81",Uruk III,Uruk
P000328,"W 20266,82",Uruk III,Uruk
P000329,"W 20266,83",Uruk III,Uruk
P000330,"W 20266,84",Uruk III,Uruk
P000331,"W 20266,85",Uruk III,Uruk
P000332,"W 20266,86",Uruk III,Uruk
P000333,"W 20266,87",Uruk III,Uruk
P000334,"W 20266,88",Uruk III,Uruk
P000335,"W 20266,89",Uruk III,Uruk
P000336,"W 20266,90",Uruk III,Uruk
P000337,"W 20266,91",Uruk III,Uruk
P000338,"W 20266,92",Uruk III,Uruk
P000339,"W 20266,93",Uruk III,Uruk
P000340,"W 20266,94",Uruk III,Uruk
P000341,"W 20266,95",Uruk III,Uruk
P000342,"W 20266,96",Uruk III,Uruk
P000343,"W 20266,97",Uruk III,Uruk
P000344,"W 20266,98",Uruk III,Uruk
P000345,"W 20266,99",Uruk III,Uruk
P000346,"W 20266,100",Uruk III,Uruk
P000347,"W 20266,101",Uruk III,Uruk
P000348,"W 20266,102",Uruk III,Uruk
P000349,"W 20266,104",Uruk III,Uruk
P000350,"W 20266,105",Uruk III,Uruk
P000351,"W 20266,106",Uruk III,Uruk
P000352,"W 20266,107",Uruk III,Uruk
P000353,"W 20266,108",Uruk III,Uruk
P000354,"W 20266,109",Uruk III,Uruk
P000355,"W 20266,110",Uruk III,Uruk
P000356,"W 20266,111",Uruk III,Uruk
P000357,"W 20266,112",Uruk III,Uruk
P000358,"W 20266,113",Uruk III,Uruk
P000359,"W 20266,114",Uruk III,Uruk
P000360,"W 20266,115",Uruk III,Uruk
P000361,"W 20266,116",Uruk III,Uruk
P000362,"W 20266,117",Uruk III,Uruk
P000363,"W 20266,118",Uruk III,Uruk
P000364,"W 20266,119",Uruk III,Uruk
P000365,"W 20266,120",Uruk III,Uruk
P000366,"W 20266,121",Uruk III,Uruk
P000367,"W 20266,122",Uruk III,Uruk
P000368,"W 20266,123",Uruk III,Uruk
P000369,"W 20266,124",Uruk III,Uruk
P000370,"W 20266,125",Uruk III,Uruk
P000371,"W 20266,126",Uruk III,Uruk
P000372,"W 20266,127",Uruk III,Uruk
P000373,"W 20266,128",Uruk III,Uruk
P000374,"W 20266,129",Uruk III,Uruk
P000375,"W 20266,130",Uruk III,Uruk
