"id_text","id_line","label","lemma","base","skip","entry"
"P271301",17,"o i 14","ŋešgana[tree]N babbar[white]V/i","ŋeš-kin₂ babbar",0,"ŋešgana[tree]N_babbar[white]V/i"
"P250371",9,"o 7","lirum[strength]N gigir[chariot]N","{ŋeš}lirum gigir",0,"lirum[strength]N_gigir[chariot]N"
"P459217",13,"i 12'","hašhur[apple]N damšelum[plant]N","{ŋeš}hašhur dam-ši-lum",0,"hašhur[apple]N_damšelum[plant]N"
"P273880",537,"c iii 22","{ŋeš}niŋ₂-ak-da[NA]NA ŋešnimbar[palm]N","{ŋeš}niŋ₂-ak-da ŋešnimbar",0,"{ŋeš}niŋ₂-ak-da[NA]NA_ŋešnimbar[palm]N"
"P332934",324,"r iii 27'","anše[equid]N ma[ship]N","{ŋeš}anše ma₂",0,"anše[equid]N_ma[ship]N"
"P271301",349,"r ii 33","naŋa[mortar]N esir[bitumen]N ea[~bitumen]N","{ŋeš}naŋa₃ esir e₃-a",0,"naŋa[mortar]N_esir[bitumen]N_ea[~bitumen]N"
"P370399",25,"o i 22'","x[NA]NA ŋešnimbar[palm]N","x ŋešnimbar",0,"x[NA]NA_ŋešnimbar[palm]N"
"Q000001",279,"279","muš[snake]N saŋkal[foremost]AJ","muš saŋ-kal",0,"muš[snake]N_saŋkal[foremost]AJ"
"Q000039",47,"40","ŋešaʾabak[tree]N Meluhha[1]GN","ŋeš-ab-ba me-luh-ha",0,"ŋešaʾabak[tree]N_Meluhha[1]GN"
"P272532",4,"o 2","guza[chair]N esi[tree]N","{ŋeš}gu-za {ŋeš}esi",0,"guza[chair]N_esi[tree]N"
"P429504",28,"o iii' 9","samhazum[tree]N","{ŋeš}sa-mu-ha-zum",0,"samhazum[tree]N"
"P271911",126,"o ii 47","gur[rim]N balaŋdi[instrument]N","gur₂ balaŋ-di",0,"gur[rim]N_balaŋdi[instrument]N"
"P277271",5,"o 3'","x[NA]NA","x",0,"x[NA]NA"
"P388265",95,"iv 12","ŋešnimbar[palm]N dar[split]V/t","{ŋeš}ŋešnimbar dar",0,"ŋešnimbar[palm]N_dar[split]V/t"
"P273880",125,"a iv 13'","mud[tube]N x[NA]NA","{ŋeš}mud x",0,"mud[tube]N_x[NA]NA"
"Q000039",401,"357","margida[cart]N","{ŋeš}mar-gid₂-da",0,"margida[cart]N"
"P332934",21,"o i 17","ŋeštinzug[grape]N","{ŋeš}ŋeštin-zug₂",0,"ŋeštinzug[grape]N"
"P492330",31,"r i 1'","{ŋeš}x[NA]NA","{ŋeš}x",0,"{ŋeš}x[NA]NA"
"P273880",615,"c iv 49","sugin[rot]N","{ŋeš}sugin",0,"sugin[rot]N"
"Q000001",426,"425","uzu[flesh]N masila[heel]N TUM[NA]NA","uzu ma-sila₃ TUM",0,"uzu[flesh]N_masila[heel]N_TUM[NA]NA"
"P247864",257,"o v 5","{ŋeš}x-x[NA]NA |EZEN×BAD|-x-x[NA]NA","{ŋeš}x-x |EZEN×BAD|-x-x",0,"{ŋeš}x-x[NA]NA_|EZEN×BAD|-x-x[NA]NA"
"P459216",159,"r iii 26'","ma[ship]N x[NA]NA gur[unit]N","{ŋeš}ma₂ x gur",0,"ma[ship]N_x[NA]NA_gur[unit]N"
"P332934",268,"unknown","unknown","unknown",999,"unknown"
"P228096",3,"unknown","unknown","unknown",1,"unknown"
"P429503",114,"r i' 18'","buniŋ[trough]N x-x[NA]NA","{ŋeš}buniŋ x-x",0,"buniŋ[trough]N_x-x[NA]NA"
"P250364",45,"o ii 20","saŋ[head]N apin[plow]N","{ŋeš}saŋ apin",0,"saŋ[head]N_apin[plow]N"
"Q000039",764,"693","dur[balk]N","{ŋeš}dur",0,"dur[balk]N"
"P271911",216,"o iii 57'","al[hoe]N zu[tooth]N limmu[four]NU","al zu₂ limmu₂",0,"al[hoe]N_zu[tooth]N_limmu[four]NU"
"P271911",315,"unknown","unknown","unknown",1,"unknown"
"P437074",18,"unknown","unknown","unknown",999,"unknown"
"P459216",99,"r i 4'","guza[chair]N x[NA]NA","{ŋeš}gu-za x",0,"guza[chair]N_x[NA]NA"
"P296528",6,"o 5","ŋešnimbar[palm]N tur[small]V/i","{ŋeš}ŋešnimbar tur",0,"ŋešnimbar[palm]N_tur[small]V/i"
"P347815",7,"o 6","buniŋ[trough]N","{ŋeš}buniŋ",0,"buniŋ[trough]N"
"P225059",5,"o i 2","emerah[jug]N x[NA]NA","{ŋeš}emerah x",0,"emerah[jug]N_x[NA]NA"
