doc_A,doc_B,dist
P235262,P235262,0.4
P235262,P247864,3.5
P235262,P250364,3
P235262,P253228,3.5
P235262,P253233,3.2
P235262,P253238,8
P235262,P253866,4
P235262,P271301,2.16666666666667
P235262,P271771,4
P235262,P271911,8
P235262,P273880,2.72727272727273
P235262,P332934,3.33333333333333
P235262,P346714,3.5
P235262,P347814,8
P235262,P370399,2.85714285714286
P235262,P388265,3.71428571428571
P235262,P429503,3
P235262,P437074,4
P235262,P447996,3.5
P235262,P459216,2.2
P235262,P459217,2
P235262,P459218,8
P235262,Q000039,2.53333333333333
P247864,P235262,3.5
P247864,P247864,0.0465116279069768
P247864,P250364,3.2
P247864,P253228,3.45454545454545
P247864,P253233,3.4
P247864,P253238,3.66666666666667
P247864,P253866,3.75
P247864,P271301,2.83333333333333
P247864,P271771,3.6
P247864,P271911,3.83333333333333
P247864,P273880,3.42857142857143
P247864,P332934,3.14285714285714
P247864,P346714,3.07692307692308
P247864,P347814,3.6
P247864,P370399,3.42857142857143
P247864,P388265,3.18518518518519
P247864,P429503,3.66666666666667
P247864,P437074,3.33333333333333
P247864,P447996,3.33333333333333
P247864,P459216,3.23076923076923
P247864,P459217,3.42857142857143
P247864,P459218,3.71428571428571
P247864,Q000039,3.25581395348837
P250364,P235262,3
P250364,P247864,3.2
P250364,P250364,0.75
P250364,P253228,4
P250364,P253233,8
P250364,P253238,8
P250364,P253866,4
P250364,P271301,3.33333333333333
P250364,P271771,4
P250364,P271911,3.2
P250364,P273880,3.2
P250364,P332934,3
P250364,P346714,2.8
P250364,P347814,4
P250364,P370399,3
P250364,P388265,3.6
P250364,P429503,4
P250364,P437074,4
P250364,P447996,8
P250364,P459216,4
P250364,P459217,4
P250364,P459218,3
P250364,Q000039,3.75
P253228,P235262,3.5
P253228,P247864,3.45454545454545
P253228,P250364,4
P253228,P253228,0.461538461538462
P253228,P253233,2
P253228,P253238,3.5
P253228,P253866,8
P253228,P271301,2.8
P253228,P271771,3.33333333333333
P253228,P271911,4
P253228,P273880,4
P253228,P332934,2.88888888888889
P253228,P346714,4
P253228,P347814,4
P253228,P370399,4
P253228,P388265,3.25
P253228,P429503,2.4
P253228,P437074,8
P253228,P447996,2.25
P253228,P459216,3.2
P253228,P459217,3.55555555555556
P253228,P459218,4
P253228,Q000039,3.53846153846154
P253233,P235262,3.2
P253233,P247864,3.4
P253233,P250364,8
P253233,P253228,2
P253233,P253233,0.4
P253233,P253238,3
P253233,P253866,8
P253233,P271301,3.2
P253233,P271771,3.25
P253233,P271911,4
P253233,P273880,3.5
P253233,P332934,3.2
P253233,P346714,4
P253233,P347814,4
P253233,P370399,3.33333333333333
P253233,P388265,3.16666666666667
P253233,P429503,2.66666666666667
P253233,P437074,4
P253233,P447996,3.5
P253233,P459216,3.5
P253233,P459217,3.45454545454545
P253233,P459218,8
P253233,Q000039,3.46666666666667
P253238,P235262,8
P253238,P247864,3.66666666666667
P253238,P250364,8
P253238,P253228,3.5
P253238,P253233,3
P253238,P253238,0.857142857142857
P253238,P253866,8
P253238,P271301,2.5
P253238,P271771,1.5
P253238,P271911,8
P253238,P273880,4
P253238,P332934,1.66666666666667
P253238,P346714,8
P253238,P347814,8
P253238,P370399,8
P253238,P388265,3.5
P253238,P429503,2
P253238,P437074,8
P253238,P447996,4
P253238,P459216,3.5
P253238,P459217,2
P253238,P459218,8
P253238,Q000039,1.42857142857143
P253866,P235262,4
P253866,P247864,3.75
P253866,P250364,4
P253866,P253228,8
P253866,P253233,8
P253866,P253238,8
P253866,P253866,0.5
P253866,P271301,3.33333333333333
P253866,P271771,3
P253866,P271911,3.6
P253866,P273880,3.75
P253866,P332934,4
P253866,P346714,3
P253866,P347814,4
P253866,P370399,4
P253866,P388265,3.14285714285714
P253866,P429503,4
P253866,P437074,4
P253866,P447996,8
P253866,P459216,4
P253866,P459217,4
P253866,P459218,3
P253866,Q000039,3.33333333333333
P271301,P235262,2.16666666666667
P271301,P247864,2.83333333333333
P271301,P250364,3.33333333333333
P271301,P253228,2.8
P271301,P253233,3.2
P271301,P253238,2.5
P271301,P253866,3.33333333333333
P271301,P271301,0.0975609756097562
P271301,P271771,2.28571428571429
P271301,P271911,8
P271301,P273880,3.27272727272727
P271301,P332934,2.21052631578947
P271301,P346714,3.5
P271301,P347814,8
P271301,P370399,3
P271301,P388265,2.94736842105263
P271301,P429503,2.85714285714286
P271301,P437074,3
P271301,P447996,2.71428571428571
P271301,P459216,2.47058823529412
P271301,P459217,1.75
P271301,P459218,8
P271301,Q000039,1.31707317073171
P271771,P235262,4
P271771,P247864,3.6
P271771,P250364,4
P271771,P253228,3.33333333333333
P271771,P253233,3.25
P271771,P253238,1.5
P271771,P253866,3
P271771,P271301,2.28571428571429
P271771,P271771,0.375
P271771,P271911,8
P271771,P273880,3.66666666666667
P271771,P332934,1.83333333333333
P271771,P346714,8
P271771,P347814,8
P271771,P370399,3.5
P271771,P388265,3
P271771,P429503,2.57142857142857
P271771,P437074,4
P271771,P447996,3.71428571428571
P271771,P459216,3.33333333333333
P271771,P459217,1.63636363636364
P271771,P459218,8
P271771,Q000039,2.5
P271911,P235262,8
P271911,P247864,3.83333333333333
P271911,P250364,3.2
P271911,P253228,4
P271911,P253233,4
P271911,P253238,8
P271911,P253866,3.6
P271911,P271301,8
P271911,P271771,8
P271911,P271911,0
P271911,P273880,3.30769230769231
P271911,P332934,8
P271911,P346714,2.83333333333333
P271911,P347814,2.72727272727273
P271911,P370399,4
P271911,P388265,3.33333333333333
P271911,P429503,8
P271911,P437074,8
P271911,P447996,8
P271911,P459216,8
P271911,P459217,4
P271911,P459218,2.25
P271911,Q000039,2.22222222222222
P273880,P235262,2.72727272727273
P273880,P247864,3.42857142857143
P273880,P250364,3.2
P273880,P253228,4
P273880,P253233,3.5
P273880,P253238,4
P273880,P253866,3.75
P273880,P271301,3.27272727272727
P273880,P271771,3.66666666666667
P273880,P271911,3.30769230769231
P273880,P273880,0
P273880,P332934,3.38461538461538
P273880,P346714,3.29411764705882
P273880,P347814,3.57894736842105
P273880,P370399,2.94117647058824
P273880,P388265,3.39130434782609
P273880,P429503,4
P273880,P437074,3.5
P273880,P447996,3.81818181818182
P273880,P459216,3.63636363636364
P273880,P459217,3.75
P273880,P459218,3.27272727272727
P273880,Q000039,3.32258064516129
P332934,P235262,3.33333333333333
P332934,P247864,3.14285714285714
P332934,P250364,3
P332934,P253228,2.88888888888889
P332934,P253233,3.2
P332934,P253238,1.66666666666667
P332934,P253866,4
P332934,P271301,2.21052631578947
P332934,P271771,1.83333333333333
P332934,P271911,8
P332934,P273880,3.38461538461538
P332934,P332934,0.230769230769231
P332934,P346714,3.5
P332934,P347814,8
P332934,P370399,3.5
P332934,P388265,3.23076923076923
P332934,P429503,1.84615384615385
P332934,P437074,4
P332934,P447996,3.06666666666667
P332934,P459216,2.61538461538462
P332934,P459217,1.73333333333333
P332934,P459218,8
P332934,Q000039,1.92
P346714,P235262,3.5
P346714,P247864,3.07692307692308
P346714,P250364,2.8
P346714,P253228,4
P346714,P253233,4
P346714,P253238,8
P346714,P253866,3
P346714,P271301,3.5
P346714,P271771,8
P346714,P271911,2.83333333333333
P346714,P273880,3.29411764705882
P346714,P332934,3.5
P346714,P346714,0.285714285714286
P346714,P347814,3.14285714285714
P346714,P370399,3.42857142857143
P346714,P388265,3.8
P346714,P429503,4
P346714,P437074,8
P346714,P447996,4
P346714,P459216,4
P346714,P459217,4
P346714,P459218,3.66666666666667
P346714,Q000039,2.95238095238095
P347814,P235262,8
P347814,P247864,3.6
P347814,P250364,4
P347814,P253228,4
P347814,P253233,4
P347814,P253238,8
P347814,P253866,4
P347814,P271301,8
P347814,P271771,8
P347814,P271911,2.72727272727273
P347814,P273880,3.57894736842105
P347814,P332934,8
P347814,P346714,3.14285714285714
P347814,P347814,0.074074074074074
P347814,P370399,4
P347814,P388265,3.16666666666667
P347814,P429503,8
P347814,P437074,8
P347814,P447996,8
P347814,P459216,8
P347814,P459217,8
P347814,P459218,2.88888888888889
P347814,Q000039,3.25
P370399,P235262,2.85714285714286
P370399,P247864,3.42857142857143
P370399,P250364,3
P370399,P253228,4
P370399,P253233,3.33333333333333
P370399,P253238,8
P370399,P253866,4
P370399,P271301,3
P370399,P271771,3.5
P370399,P271911,4
P370399,P273880,2.94117647058824
P370399,P332934,3.5
P370399,P346714,3.42857142857143
P370399,P347814,4
P370399,P370399,0.3
P370399,P388265,3.63636363636364
P370399,P429503,4
P370399,P437074,3
P370399,P447996,4
P370399,P459216,3.42857142857143
P370399,P459217,4
P370399,P459218,3.5
P370399,Q000039,3.2
P388265,P235262,3.71428571428571
P388265,P247864,3.18518518518519
P388265,P250364,3.6
P388265,P253228,3.25
P388265,P253233,3.16666666666667
P388265,P253238,3.5
P388265,P253866,3.14285714285714
P388265,P271301,2.94736842105263
P388265,P271771,3
P388265,P271911,3.33333333333333
P388265,P273880,3.39130434782609
P388265,P332934,3.23076923076923
P388265,P346714,3.8
P388265,P347814,3.16666666666667
P388265,P370399,3.63636363636364
P388265,P388265,0
P388265,P429503,3.6
P388265,P437074,3
P388265,P447996,3.75
P388265,P459216,3.45454545454545
P388265,P459217,3.14285714285714
P388265,P459218,3.33333333333333
P388265,Q000039,3.2
P429503,P235262,3
P429503,P247864,3.66666666666667
P429503,P250364,4
P429503,P253228,2.4
P429503,P253233,2.66666666666667
P429503,P253238,2
P429503,P253866,4
P429503,P271301,2.85714285714286
P429503,P271771,2.57142857142857
P429503,P271911,8
P429503,P273880,4
P429503,P332934,1.84615384615385
P429503,P346714,4
P429503,P347814,8
P429503,P370399,4
P429503,P388265,3.6
P429503,P429503,0.333333333333333
P429503,P437074,4
P429503,P447996,3.4
P429503,P459216,3.11111111111111
P429503,P459217,2.75
P429503,P459218,8
P429503,Q000039,2.33333333333333
P437074,P235262,4
P437074,P247864,3.33333333333333
P437074,P250364,4
P437074,P253228,8
P437074,P253233,4
P437074,P253238,8
P437074,P253866,4
P437074,P271301,3
P437074,P271771,4
P437074,P271911,8
P437074,P273880,3.5
P437074,P332934,4
P437074,P346714,8
P437074,P347814,8
P437074,P370399,3
P437074,P388265,3
P437074,P429503,4
P437074,P437074,1
P437074,P447996,4
P437074,P459216,3.33333333333333
P437074,P459217,4
P437074,P459218,8
P437074,Q000039,2.8
P447996,P235262,3.5
P447996,P247864,3.33333333333333
P447996,P250364,8
P447996,P253228,2.25
P447996,P253233,3.5
P447996,P253238,4
P447996,P253866,8
P447996,P271301,2.71428571428571
P447996,P271771,3.71428571428571
P447996,P271911,8
P447996,P273880,3.81818181818182
P447996,P332934,3.06666666666667
P447996,P346714,4
P447996,P347814,8
P447996,P370399,4
P447996,P388265,3.75
P447996,P429503,3.4
P447996,P437074,4
P447996,P447996,0.1
P447996,P459216,3.33333333333333
P447996,P459217,3.5
P447996,P459218,8
P447996,Q000039,2.9
P459216,P235262,2.2
P459216,P247864,3.23076923076923
P459216,P250364,4
P459216,P253228,3.2
P459216,P253233,3.5
P459216,P253238,3.5
P459216,P253866,4
P459216,P271301,2.47058823529412
P459216,P271771,3.33333333333333
P459216,P271911,8
P459216,P273880,3.63636363636364
P459216,P332934,2.61538461538462
P459216,P346714,4
P459216,P347814,8
P459216,P370399,3.42857142857143
P459216,P388265,3.45454545454545
P459216,P429503,3.11111111111111
P459216,P437074,3.33333333333333
P459216,P447996,3.33333333333333
P459216,P459216,0.285714285714286
P459216,P459217,1.81818181818182
P459216,P459218,8
P459216,Q000039,2.66666666666667
P459217,P235262,2
P459217,P247864,3.42857142857143
P459217,P250364,4
P459217,P253228,3.55555555555556
P459217,P253233,3.45454545454545
P459217,P253238,2
P459217,P253866,4
P459217,P271301,1.75
P459217,P271771,1.63636363636364
P459217,P271911,4
P459217,P273880,3.75
P459217,P332934,1.73333333333333
P459217,P346714,4
P459217,P347814,8
P459217,P370399,4
P459217,P388265,3.14285714285714
P459217,P429503,2.75
P459217,P437074,4
P459217,P447996,3.5
P459217,P459216,1.81818181818182
P459217,P459217,0.272727272727273
P459217,P459218,8
P459217,Q000039,1.63636363636364
P459218,P235262,8
P459218,P247864,3.71428571428571
P459218,P250364,3
P459218,P253228,4
P459218,P253233,8
P459218,P253238,8
P459218,P253866,3
P459218,P271301,8
P459218,P271771,8
P459218,P271911,2.25
P459218,P273880,3.27272727272727
P459218,P332934,8
P459218,P346714,3.66666666666667
P459218,P347814,2.88888888888889
P459218,P370399,3.5
P459218,P388265,3.33333333333333
P459218,P429503,8
P459218,P437074,8
P459218,P447996,8
P459218,P459216,8
P459218,P459217,8
P459218,P459218,0.428571428571428
P459218,Q000039,1.53846153846154
Q000039,P235262,2.53333333333333
Q000039,P247864,3.25581395348837
Q000039,P250364,3.75
Q000039,P253228,3.53846153846154
Q000039,P253233,3.46666666666667
Q000039,P253238,1.42857142857143
Q000039,P253866,3.33333333333333
Q000039,P271301,1.31707317073171
Q000039,P271771,2.5
Q000039,P271911,2.22222222222222
Q000039,P273880,3.32258064516129
Q000039,P332934,1.92
Q000039,P346714,2.95238095238095
Q000039,P347814,3.25
Q000039,P370399,3.2
Q000039,P388265,3.2
Q000039,P429503,2.33333333333333
Q000039,P437074,2.8
Q000039,P447996,2.9
Q000039,P459216,2.66666666666667
Q000039,P459217,1.63636363636364
Q000039,P459218,1.53846153846154
Q000039,Q000039,0
